UPE | Compare Intel® Products
05/06/2024 11:09:06 AM
,Intel® Core™ i3-4340TE Processor (4M Cache- 2.60 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Haswell
Vertical Segment,Embedded
Processor Number,i3-4340TE
Lithography,22 nm

CPU Specifications
Total Cores,2
Total Threads,4
Processor Base Frequency,2.60 GHz
Cache,4 MB Intel® Smart Cache
Bus Speed,5 GT/s
# of QPI Links,0
TDP,35 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q2'14
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,Yes
Use Conditions,Embedded Broad Market Commercial Temp |  PC/Client/Tablet
Datasheet,View now
Product Brief,View now
Additional Information,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR3 1333/1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,Yes

GPU Specifications
GPU Name‡,Intel® HD Graphics 4600
Graphics Base Frequency,350 MHz
Graphics Max Dynamic Frequency,1.00 GHz
Graphics Video Max Memory,1.7 GB
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,3

Expansion Options
Scalability,1S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8/2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCLGA1150
Max CPU Configuration,1
Thermal Solution Specification,PCG 2013A
TCASE,72°C
Package Size,37.5mm x 37.5mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,No
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/80918/intel-core-i34340te-processor-4m-cache-2-60-ghz/specifications.html
